"{""max_tokens"": 1024, ""max_workers"": 4, ""measure_performance"": false, ""models"": [""openai/gpt-4o"", ""openai/gpt-5.5-pro"", ""anthropic/claude-opus-4.7"", ""moonshotai/kimi-k2.6""], ""questions_csv"": ""Questions/questions_parking.csv"", ""runs_per_question"": 5, ""use_redis_cache"": true}"
NegationCount,ExpectedAnswer,Question,model,run_index,max_tokens,reasoning_tokens,answer,matches_expected,raw_response,response_source
2,yes,The parking sign says that parking is not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,1,1024,73,yes,True,yes,redis_cache
2,yes,The parking sign says that parking is not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,2,1024,112,yes,True,Yes,redis_cache
2,yes,The parking sign says that parking is not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,3,1024,65,yes,True,yes,redis_cache
2,yes,The parking sign says that parking is not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,4,1024,51,yes,True,yes,redis_cache
2,yes,The parking sign says that parking is not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,5,1024,55,yes,True,yes,redis_cache
2,yes,The parking sign says that parking is not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,1,1024,0,yes,True,Yes,redis_cache
2,yes,The parking sign says that parking is not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,2,1024,0,yes,True,Yes,redis_cache
2,yes,The parking sign says that parking is not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,3,1024,0,yes,True,Yes,redis_cache
2,yes,The parking sign says that parking is not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,4,1024,0,yes,True,Yes,redis_cache
2,yes,The parking sign says that parking is not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,5,1024,0,yes,True,Yes,redis_cache
2,yes,The parking sign says that parking is not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,1,1024,385,yes,True, Yes,redis_cache
2,yes,The parking sign says that parking is not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,2,1024,450,yes,True, Yes,redis_cache
2,yes,The parking sign says that parking is not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,3,1024,180,yes,True,Yes,redis_cache
2,yes,The parking sign says that parking is not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,4,1024,144,yes,True,yes,redis_cache
2,yes,The parking sign says that parking is not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,5,1024,101,yes,True,Yes,redis_cache
3,no,The parking sign says that parking is not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,1,1024,0,yes,False,Yes.,redis_cache
3,no,The parking sign says that parking is not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,2,1024,0,yes,False,Yes.,redis_cache
3,no,The parking sign says that parking is not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,3,1024,0,yes,False,Yes.,redis_cache
3,no,The parking sign says that parking is not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,4,1024,0,yes,False,Yes.,redis_cache
3,no,The parking sign says that parking is not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,5,1024,0,yes,False,Yes.,redis_cache
3,no,The parking sign says that parking is not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,1,1024,116,no,True,No,redis_cache
3,no,The parking sign says that parking is not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,2,1024,108,no,True,No,redis_cache
3,no,The parking sign says that parking is not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,3,1024,206,no,True,No,redis_cache
3,no,The parking sign says that parking is not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,4,1024,106,no,True,no,redis_cache
3,no,The parking sign says that parking is not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,5,1024,122,no,True,no,redis_cache
3,no,The parking sign says that parking is not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,1,1024,0,no,True,No,redis_cache
3,no,The parking sign says that parking is not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,2,1024,0,no,True,No,redis_cache
3,no,The parking sign says that parking is not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,3,1024,0,no,True,No,redis_cache
3,no,The parking sign says that parking is not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,4,1024,0,no,True,No,redis_cache
3,no,The parking sign says that parking is not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,5,1024,0,no,True,No,redis_cache
3,no,The parking sign says that parking is not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,1,1024,129,no,True,No,redis_cache
3,no,The parking sign says that parking is not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,2,1024,365,no,True, no,redis_cache
3,no,The parking sign says that parking is not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,3,1024,326,no,True,No.,redis_cache
3,no,The parking sign says that parking is not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,4,1024,274,no,True,no,redis_cache
3,no,The parking sign says that parking is not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,5,1024,179,no,True,No,redis_cache
4,yes,The parking sign says that parking is not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,1,1024,0,yes,True,Yes.,redis_cache
4,yes,The parking sign says that parking is not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,2,1024,0,yes,True,Yes.,redis_cache
4,yes,The parking sign says that parking is not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,3,1024,0,yes,True,Yes.,redis_cache
4,yes,The parking sign says that parking is not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,4,1024,0,yes,True,Yes.,redis_cache
4,yes,The parking sign says that parking is not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,5,1024,0,yes,True,Yes.,redis_cache
4,yes,The parking sign says that parking is not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,1,1024,136,yes,True,yes,redis_cache
4,yes,The parking sign says that parking is not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,2,1024,98,yes,True,Yes,redis_cache
4,yes,The parking sign says that parking is not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,3,1024,110,yes,True,yes,redis_cache
4,yes,The parking sign says that parking is not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,4,1024,137,yes,True,yes,redis_cache
4,yes,The parking sign says that parking is not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,5,1024,105,yes,True,yes,redis_cache
4,yes,The parking sign says that parking is not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,1,1024,0,no,False,No,redis_cache
4,yes,The parking sign says that parking is not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,2,1024,0,no,False,No,redis_cache
4,yes,The parking sign says that parking is not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,3,1024,0,no,False,No,redis_cache
4,yes,The parking sign says that parking is not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,4,1024,0,no,False,No,redis_cache
4,yes,The parking sign says that parking is not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,5,1024,0,no,False,No,redis_cache
4,yes,The parking sign says that parking is not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,1,1024,336,yes,True, yes,redis_cache
4,yes,The parking sign says that parking is not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,2,1024,402,yes,True, Yes,redis_cache
4,yes,The parking sign says that parking is not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,3,1024,262,yes,True, yes,redis_cache
4,yes,The parking sign says that parking is not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,4,1024,327,yes,True, Yes,redis_cache
4,yes,The parking sign says that parking is not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,5,1024,164,yes,True, yes,redis_cache
5,no,The parking sign says that parking is not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,1,1024,0,no,True,No.,redis_cache
5,no,The parking sign says that parking is not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,2,1024,0,yes,False,Yes.,redis_cache
5,no,The parking sign says that parking is not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,3,1024,0,no,True,No.,redis_cache
5,no,The parking sign says that parking is not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,4,1024,0,no,True,No.,redis_cache
5,no,The parking sign says that parking is not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,5,1024,0,yes,False,Yes.,redis_cache
5,no,The parking sign says that parking is not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,1,1024,118,no,True,No,redis_cache
5,no,The parking sign says that parking is not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,2,1024,81,no,True,no,redis_cache
5,no,The parking sign says that parking is not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,3,1024,111,no,True,no,redis_cache
5,no,The parking sign says that parking is not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,4,1024,111,no,True,no,redis_cache
5,no,The parking sign says that parking is not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,5,1024,119,no,True,no,redis_cache
5,no,The parking sign says that parking is not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,1,1024,0,no,True,No,redis_cache
5,no,The parking sign says that parking is not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,2,1024,0,no,True,No,redis_cache
5,no,The parking sign says that parking is not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,3,1024,0,no,True,No,redis_cache
5,no,The parking sign says that parking is not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,4,1024,0,no,True,No,redis_cache
5,no,The parking sign says that parking is not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,5,1024,0,no,True,No,redis_cache
5,no,The parking sign says that parking is not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,1,1024,649,no,True, No,redis_cache
5,no,The parking sign says that parking is not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,2,1024,688,no,True, No,redis_cache
5,no,The parking sign says that parking is not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,3,1024,854,no,True, No,redis_cache
5,no,The parking sign says that parking is not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,4,1024,336,no,True, No,redis_cache
5,no,The parking sign says that parking is not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,5,1024,436,no,True, no,redis_cache
6,yes,The parking sign says that parking is not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,1,1024,0,yes,True,Yes.,redis_cache
6,yes,The parking sign says that parking is not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,2,1024,0,yes,True,Yes.,redis_cache
6,yes,The parking sign says that parking is not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,3,1024,0,no,False,No.,redis_cache
6,yes,The parking sign says that parking is not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,4,1024,0,yes,True,Yes.,redis_cache
6,yes,The parking sign says that parking is not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-4o,5,1024,0,yes,True,Yes.,redis_cache
6,yes,The parking sign says that parking is not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,1,1024,149,yes,True,yes,redis_cache
6,yes,The parking sign says that parking is not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,2,1024,121,yes,True,yes,redis_cache
6,yes,The parking sign says that parking is not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,3,1024,171,yes,True,yes,redis_cache
6,yes,The parking sign says that parking is not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,4,1024,106,yes,True,yes,redis_cache
6,yes,The parking sign says that parking is not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,openai/gpt-5.5-pro,5,1024,170,yes,True,yes,redis_cache
6,yes,The parking sign says that parking is not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,1,1024,0,no,False,No,redis_cache
6,yes,The parking sign says that parking is not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,2,1024,0,no,False,No,redis_cache
6,yes,The parking sign says that parking is not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,3,1024,0,no,False,No,redis_cache
6,yes,The parking sign says that parking is not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,4,1024,0,no,False,No,redis_cache
6,yes,The parking sign says that parking is not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,anthropic/claude-opus-4.7,5,1024,0,no,False,No,redis_cache
6,yes,The parking sign says that parking is not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,1,1024,218,yes,True,yes,redis_cache
6,yes,The parking sign says that parking is not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,2,1024,301,yes,True, Yes,redis_cache
6,yes,The parking sign says that parking is not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Answer with yes or no only.,moonshotai/kimi-k2.6,3,1024,525,yes,True, Yes,redis_cache
